sample,feature,output_param,shap_value,feature_value
3,39,$\Omega_m$,0.012884363296519355,0.041316062
3,40,$\Omega_m$,0.009222779943762971,0.056535807
3,41,$\Omega_m$,0.014955420116311855,0.020348493
3,42,$\Omega_m$,0.012277371002516404,0.032545358
3,43,$\Omega_m$,0.0056711181586433694,0.027759783
3,44,$\Omega_m$,0.0012644747966180276,0.053052526
3,45,$\Omega_m$,0.0036520764454811283,0.03273986
3,46,$\Omega_m$,0.007053045611052476,0.07936579
3,47,$\Omega_m$,0.004749058541686575,0.07735702
3,48,$\Omega_m$,0.0006283635089736709,0.05932168
3,49,$\Omega_m$,0.0014603421784704547,0.015646534
3,50,$\Omega_m$,0.003924738638452237,0.06003412
3,51,$\Omega_m$,0.00780233489582315,0.04577308
3,52,$\Omega_m$,0.00018580456198834713,0.0734245
3,53,$\Omega_m$,0.005048533050285196,0.088448614
3,54,$\Omega_m$,0.001746262351565155,0.083720304
3,55,$\Omega_m$,-0.002157896655165442,0.075773746
3,56,$\Omega_m$,0.0013002496090485,0.06118736
3,57,$\Omega_m$,-0.0028981744152648905,0.116574526
3,58,$\Omega_m$,0.0011320185476991762,0.070983075
3,59,$\Omega_m$,-0.000710860411636538,0.08025915
3,60,$\Omega_m$,-0.001231824221904367,0.08559741
3,61,$\Omega_m$,0.0002870004336970415,0.08770183
3,62,$\Omega_m$,-0.005840374608136088,0.09719786
3,63,$\Omega_m$,-0.005611089009714021,0.08220282
3,64,$\Omega_m$,-0.008132661166794897,0.1059954
3,65,$\Omega_m$,-0.011416008322121344,0.1087239
3,66,$\Omega_m$,-1.677513821052301e-05,0.110297725
3,67,$\Omega_m$,-0.005610587028083203,0.10415945
3,68,$\Omega_m$,-0.0015167446009581957,0.10490206
3,69,$\Omega_m$,-0.009352769480513723,0.08655095
3,70,$\Omega_m$,-0.0034617131386524467,0.10304723
3,71,$\Omega_m$,-0.011936678929099193,0.094170846
3,72,$\Omega_m$,-0.012442622977056709,0.108990416
3,73,$\Omega_m$,-0.01354793051335341,0.12776338
3,74,$\Omega_m$,-0.0042792954782877495,0.124833055
3,75,$\Omega_m$,-0.009870069679406393,0.11022093
3,76,$\Omega_m$,-0.007715991531107034,0.11001525
3,77,$\Omega_m$,-0.0022371505560246085,0.12136455
3,78,$\Omega_m$,-0.0139663882823364,0.110912174
4,0,$\Omega_m$,-0.0009160343481926375,-0.06590071
4,1,$\Omega_m$,0.0016658601814075608,-0.13686071
4,2,$\Omega_m$,-0.0028870090832545567,-0.069092534
4,3,$\Omega_m$,-0.007104977797328789,0.18767852
4,4,$\Omega_m$,-0.007070478604982787,0.28018853
4,5,$\Omega_m$,0.005806405807913209,0.5111403
4,6,$\Omega_m$,0.0011237386498578565,0.3218855
4,7,$\Omega_m$,-0.0005770056275650933,0.5370631
4,8,$\Omega_m$,-0.026307891157145314,0.37632126
4,9,$\Omega_m$,-0.06936880035570843,0.7055274
4,10,$\Omega_m$,-0.03666175404114861,0.58509165
4,11,$\Omega_m$,-0.014968588350311637,1.0952557
4,12,$\Omega_m$,0.09408525108320949,1.466861
4,13,$\Omega_m$,0.12579860571951335,1.3573327
4,14,$\Omega_m$,0.09817752934539992,1.249102
4,15,$\Omega_m$,0.0519866581057431,1.4016069
4,16,$\Omega_m$,-0.025973222973389054,1.3200047
4,17,$\Omega_m$,-0.07354846260458071,1.4540274
4,18,$\Omega_m$,-0.12879975893175774,1.445526
4,19,$\Omega_m$,-0.1149871468807578,1.480122
4,20,$\Omega_m$,-0.03641242792063471,1.3334771
4,21,$\Omega_m$,-0.019663361583437403,1.2600902
4,22,$\Omega_m$,0.04944321746666296,1.1652621
4,23,$\Omega_m$,0.057318913635305446,1.2104008
4,24,$\Omega_m$,0.059441283187456805,1.0759599
4,25,$\Omega_m$,0.07836609785716672,1.3062513
4,26,$\Omega_m$,0.05332034753630673,1.1210688
4,27,$\Omega_m$,0.007613442756052492,1.1513131
4,28,$\Omega_m$,-0.04724204014067556,1.2419075
4,29,$\Omega_m$,-0.01517599158747543,1.1256019
4,30,$\Omega_m$,-0.07047245340188965,1.2038261
4,31,$\Omega_m$,-0.0293243143647851,1.1492791
4,32,$\Omega_m$,-0.019005012299239742,1.0934551
